userId,gridExp,logicExp,genreOrder,narrOrder,modeMap,trainMode,ballroomMode,chiliMode,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
RCPrtvHMUQe8bMQO4cbVXqQVagL2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['hints', 'nar', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if'}",if,hints,nar,137817,11,intermediate,1,1691070.0,1691070.0
asKnpKdvLkObcvScrOnTA6sUFj83,2,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",if,nar,hints,48119,11,expert,1,2660565.0,2660565.0
eynEGYBbOePVs6leT9NH0wR9iwH2,1,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['if', 'hints', 'nar']","{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar'}",nar,hints,if,157040,11,intermediate,3,2067082.0,689027.3333333334
vZJn1zw30BNrvsBjTVzYaIPeyqt2,2,1,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'hints', 'if']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",hints,if,nar,218203,11,expert,3,723124.0,241041.33333333334
AYBgNBT2VRYA2VvDt7zJ7J007bY2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['nar', 'hints', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'if'}",if,nar,hints,138923,11,intermediate,3,2291356.0,763785.3333333334
LhetIKPwTQdnTtGCIDi0b5A46WK2,1,1,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'if', 'hints']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",if,hints,nar,200719,11,novice,3,2107924.0,702641.3333333334
DA4f0R1YTree7Na5pFoVHwqRxA62,1,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'if', 'hints']","{'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",nar,hints,if,179278,11,intermediate,1,45890.0,45890.0
gQxDTDut8zRFdnaJXeGXglpGASI2,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['hints', 'if', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar'}",if,hints,nar,319030,11,novice,1,59014.0,59014.0
5l2rs0kHd5Pw0sISrzYTRgxQxY72,2,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'if', 'nar']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Wild Rose Train': 'nar'}",nar,if,hints,94867,11,expert,1,331994.0,331994.0
G0cJLLBX6mXujoT4xPzKQHZl2Z13,2,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'nar', 'if']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if'}",if,nar,hints,287789,11,expert,1,3295445.0,3295445.0
